925 reqs/sec
failed 5029


cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:39:47.300907576  Counter:   279 ->    88 (  191 running,   243 max)
2023-11-02T14:39:47.301935221  Counter:   282 ->    89 (  193 running,   243 max)
2023-11-02T14:39:47.302078536  Counter:   283 ->    90 (  193 running,   243 max)
2023-11-02T14:39:47.302167932  Counter:   283 ->    91 (  192 running,   243 max)
2023-11-02T14:39:47.30221291   Counter:   283 ->    93 (  191 running,   243 max)
2023-11-02T14:39:47.302240358  Counter:   283 ->    93 (  190 running,   243 max)
2023-11-02T14:39:47.298718051  Counter:   283 ->    93 (  201 running,   243 max)
2023-11-02T14:39:47.303131254  Counter:   283 ->    94 (  189 running,   243 max)
2023-11-02T14:39:47.303476619  Counter:   284 ->    96 (  189 running,   243 max)
2023-11-02T14:39:47.303508257  Counter:   284 ->    96 (  188 running,   243 max)
2023-11-02T14:39:47.303582568  Counter:   285 ->    97 (  188 running,   243 max)
2023-11-02T14:39:47.303702765  Counter:   285 ->    99 (  187 running,   243 max)
2023-11-02T14:39:47.303732587  Counter:   285 ->    99 (  186 running,   243 max)
2023-11-02T14:39:47.303796422  Counter:   285 ->   101 (  185 running,   243 max)
2023-11-02T14:39:47.303830016  Counter:   285 ->   101 (  184 running,   243 max)
2023-11-02T14:39:47.304366048  Counter:   286 ->   102 (  184 running,   243 max)
2023-11-02T14:39:47.30443135   Counter:   287 ->   104 (  184 running,   243 max)
2023-11-02T14:39:47.30443568   Counter:   287 ->   104 (  183 running,   243 max)
2023-11-02T14:39:47.304524099  Counter:   288 ->   105 (  183 running,   243 max)
2023-11-02T14:39:47.30458081   Counter:   288 ->   106 (  182 running,   243 max)
2023-11-02T14:39:47.304729432  Counter:   288 ->   107 (  181 running,   243 max)
2023-11-02T14:39:47.304778112  Counter:   288 ->   108 (  180 running,   243 max)
2023-11-02T14:39:47.304856264  Counter:   288 ->   109 (  179 running,   243 max)
2023-11-02T14:39:47.304902569  Counter:   288 ->   110 (  178 running,   243 max)
2023-11-02T14:39:47.30507808   Counter:   288 ->   113 (  177 running,   243 max)
2023-11-02T14:39:47.305102245  Counter:   288 ->   113 (  175 running,   243 max)
2023-11-02T14:39:47.305102245  Counter:   288 ->   113 (  176 running,   243 max)
2023-11-02T14:39:47.305198766  Counter:   289 ->   115 (  174 running,   243 max)
2023-11-02T14:39:47.305235712  Counter:   289 ->   115 (  174 running,   243 max)
2023-11-02T14:39:47.305386569  Counter:   289 ->   118 (  173 running,   243 max)
2023-11-02T14:39:47.305418347  Counter:   289 ->   118 (  171 running,   243 max)
2023-11-02T14:39:47.305418347  Counter:   290 ->   118 (  172 running,   243 max)
2023-11-02T14:39:47.305919249  Counter:   291 ->   119 (  172 running,   243 max)
2023-11-02T14:39:47.306440684  Counter:   292 ->   120 (  172 running,   243 max)
2023-11-02T14:39:47.306514576  Counter:   293 ->   123 (  172 running,   243 max)
2023-11-02T14:39:47.306527707  Counter:   293 ->   124 (  171 running,   243 max)
2023-11-02T14:39:47.306545726  Counter:   293 ->   124 (  170 running,   243 max)
2023-11-02T14:39:47.306558437  Counter:   293 ->   124 (  169 running,   243 max)
2023-11-02T14:39:47.306679192  Counter:   293 ->   125 (  168 running,   243 max)
2023-11-02T14:39:47.307294634  Counter:   295 ->   127 (  169 running,   243 max)
2023-11-02T14:39:47.307307485  Counter:   295 ->   128 (  168 running,   243 max)
2023-11-02T14:39:47.307338704  Counter:   295 ->   128 (  167 running,   243 max)
2023-11-02T14:39:47.307429079  Counter:   297 ->   129 (  167 running,   243 max)
2023-11-02T14:39:47.308147257  Counter:   299 ->   131 (  168 running,   243 max)
2023-11-02T14:39:47.307933403  Counter:   300 ->   131 (  169 running,   243 max)
2023-11-02T14:39:47.308755645  Counter:   300 ->   132 (  168 running,   243 max)
2023-11-02T14:39:47.308902311  Counter:   301 ->   133 (  168 running,   243 max)
2023-11-02T14:39:47.309590737  Counter:   302 ->   135 (  168 running,   243 max)
2023-11-02T14:39:47.309639905  Counter:   303 ->   135 (  167 running,   243 max)
2023-11-02T14:39:47.346521357  Counter:   307 ->   139 (  169 running,   243 max)
2023-11-02T14:39:47.34652471   Counter:   307 ->   139 (  168 running,   243 max)
2023-11-02T14:39:47.346948646  Counter:   309 ->   140 (  168 running,   243 max)
2023-11-02T14:39:47.346521357  Counter:   307 ->   139 (  169 running,   243 max)
2023-11-02T14:39:47.346521357  Counter:   307 ->   139 (  169 running,   243 max)
2023-11-02T14:39:47.347146437  Counter:   310 ->   141 (  169 running,   243 max)
2023-11-02T14:39:47.34733892   Counter:   310 ->   143 (  168 running,   243 max)
2023-11-02T14:39:47.347353167  Counter:   311 ->   143 (  167 running,   243 max)
2023-11-02T14:39:47.347722628  Counter:   311 ->   144 (  167 running,   243 max)
2023-11-02T14:39:47.347817263  Counter:   311 ->   145 (  166 running,   243 max)
2023-11-02T14:39:47.347903866  Counter:   312 ->   146 (  165 running,   243 max)
2023-11-02T14:39:47.348231701  Counter:   314 ->   148 (  166 running,   243 max)
2023-11-02T14:39:47.348229327  Counter:   314 ->   148 (  167 running,   243 max)
2023-11-02T14:39:47.360650604  Counter:   319 ->   153 (  166 running,   243 max)
2023-11-02T14:39:47.348533625  Counter:   316 ->   151 (  167 running,   243 max)
2023-11-02T14:39:47.361108554  Counter:   321 ->   154 (  167 running,   243 max)
2023-11-02T14:39:47.3485492    Counter:   317 ->   151 (  165 running,   243 max)
2023-11-02T14:39:47.362185437  Counter:   327 ->   156 (  170 running,   243 max)
2023-11-02T14:39:47.362916326  Counter:   332 ->   157 (  175 running,   243 max)
2023-11-02T14:39:47.363316238  Counter:   335 ->   158 (  177 running,   243 max)
