908.33 reqs/sec

50	270
66	475
75	543
80	619
90	1468
95	1731
98	2607
99	3211
100	8426





cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:25:56.627013861  Counter:   173 ->    87 (   86 running,   121 max)
2023-11-02T14:25:56.627512947  Counter:   175 ->    88 (   87 running,   121 max)
2023-11-02T14:25:56.628020693  Counter:   177 ->    89 (   88 running,   121 max)
2023-11-02T14:25:56.629573405  Counter:   183 ->    90 (   93 running,   121 max)
2023-11-02T14:25:56.648401157  Counter:   212 ->   111 (  101 running,   121 max)
2023-11-02T14:25:56.631238352  Counter:   186 ->    92 (   95 running,   121 max)
2023-11-02T14:25:56.649181913  Counter:   216 ->   115 (  102 running,   121 max)
2023-11-02T14:25:56.631288009  Counter:   186 ->    92 (   94 running,   121 max)
2023-11-02T14:25:56.650022104  Counter:   221 ->   117 (  103 running,   121 max)
2023-11-02T14:25:56.631614936  Counter:   188 ->    93 (   95 running,   121 max)
2023-11-02T14:25:56.650941355  Counter:   225 ->   119 (  106 running,   121 max)
2023-11-02T14:25:56.631676886  Counter:   189 ->    94 (   95 running,   121 max)
2023-11-02T14:25:56.651616022  Counter:   229 ->   121 (  108 running,   121 max)
2023-11-02T14:25:56.632029864  Counter:   190 ->    95 (   95 running,   121 max)
2023-11-02T14:25:56.632355813  Counter:   192 ->    97 (   96 running,   121 max)
2023-11-02T14:25:56.652897191  Counter:   234 ->   123 (  111 running,   121 max)
2023-11-02T14:25:56.632386124  Counter:   193 ->    97 (   95 running,   121 max)
2023-11-02T14:25:56.632782613  Counter:   195 ->    98 (   96 running,   121 max)
